Source,Target,Type,Label,Weight
ART_40,AUT_Исмаилова,Directed,cites,1
ART_40,AUT_Вострякова,Directed,cites,1
ART_40,AUT_Еремеев,Directed,cites,1
ART_40,AUT_Колин,Directed,cites,1
ART_40,AUT_Копылова,Directed,cites,1
ART_40,AUT_Хорошилов,Directed,cites,1
ART_41,AUT_Белаш,Directed,cites,1
ART_41,AUT_Павлов,Directed,cites,1
ART_41,AUT_Никишкина,Directed,cites,1
ART_41,AUT_Массалова,Directed,cites,1
ART_41,AUT_Токторбаев,Directed,cites,1
ART_41,AUT_Крючкова,Directed,cites,1
ART_41,AUT_Таланова,Directed,cites,1
ART_41,AUT_Мощинская,Directed,cites,1
ART_41,AUT_Дзюба,Directed,cites,1
ART_41,AUT_Холодкова,Directed,cites,1
ART_41,AUT_Ларин,Directed,cites,1
ART_41,AUT_Кашлев,Directed,cites,1
ART_41,AUT_Писарь,Directed,cites,1
ART_42,AUT_Дунаева,Directed,cites,1
ART_42,AUT_Ван,Directed,cites,1
ART_42,AUT_Богомолов,Directed,cites,1
ART_42,AUT_Лебедева,Directed,cites,1
ART_42,AUT_Сысоев,Directed,cites,1
ART_42,AUT_Биккулова,Directed,cites,1
ART_42,AUT_Ивкина,Directed,cites,1
ART_42,AUT_Лапошина,Directed,cites,1
ART_43,AUT_Дунаева,Directed,cites,1
ART_43,AUT_Моргун,Directed,cites,1
ART_43,AUT_Соловова,Directed,cites,1
ART_43,AUT_Васильева,Directed,cites,1
ART_43,AUT_Рыков,Directed,cites,1
ART_43,AUT_Козловцева,Directed,cites,1
ART_43,AUT_Гарцов,Directed,cites,1
ART_43,AUT_Ельникова,Directed,cites,1
ART_43,AUT_Лыу,Directed,cites,1
ART_43,AUT_Шамши,Directed,cites,1
ART_43,AUT_Самуйлова,Directed,cites,1
ART_43,AUT_Кайси,Directed,cites,1
ART_43,AUT_Стрельчук,Directed,cites,1
ART_43,AUT_Архангельская,Directed,cites,1
ART_43,AUT_Азимов,Directed,cites,1
ART_43,AUT_Ван,Directed,cites,1
ART_43,AUT_Кожевникова,Directed,cites,1
ART_43,AUT_Нефёдов,Directed,cites,1
ART_43,AUT_Огрызко,Directed,cites,1
ART_43,AUT_Трубчанинова,Directed,cites,1
ART_43,AUT_Сысоев,Directed,cites,1
ART_43,AUT_Кулибина,Directed,cites,1
ART_43,AUT_Вязовская,Directed,cites,1
ART_43,AUT_Данилевская,Directed,cites,1
ART_43,AUT_Богомолов,Directed,cites,1
ART_43,AUT_Грудева,Directed,cites,1
ART_43,AUT_Алексеева,Directed,cites,1
ART_43,AUT_Левина,Directed,cites,1
ART_43,AUT_Жиндаева,Directed,cites,1
ART_43,AUT_Филатов,Directed,cites,1
ART_44,AUT_Крутецкий,Directed,cites,1
ART_44,AUT_Петросян,Directed,cites,1
ART_44,AUT_Денисенко,Directed,cites,1
ART_44,AUT_Леонтьев,Directed,cites,1
ART_44,AUT_Линник,Directed,cites,1
ART_44,AUT_Торунова,Directed,cites,1
ART_44,AUT_Гальперин,Directed,cites,1
ART_44,AUT_Антипова,Directed,cites,1
ART_44,AUT_Березняцкая,Directed,cites,1
ART_44,AUT_Ячина,Directed,cites,1
ART_44,AUT_Бароненко,Directed,cites,1
ART_44,AUT_Коваленко,Directed,cites,1
ART_44,AUT_Калинина,Directed,cites,1
ART_45,AUT_Донгак,Directed,cites,1
ART_45,AUT_Лукашевич,Directed,cites,1
ART_45,AUT_Щербакова,Directed,cites,1
ART_45,AUT_Сапин,Directed,cites,1
ART_45,AUT_Козловцева,Directed,cites,1
ART_45,AUT_Баранова,Directed,cites,1
ART_45,AUT_Муртазин,Directed,cites,1
ART_45,AUT_Воронцов,Directed,cites,1
ART_45,AUT_Бабенкова,Directed,cites,1
ART_45,AUT_Пустовойт,Directed,cites,1
ART_45,AUT_Большакова,Directed,cites,1
ART_45,AUT_Добренко,Directed,cites,1
ART_45,AUT_Куриленко,Directed,cites,1
ART_45,AUT_Балакин,Directed,cites,1
ART_45,AUT_Бирюкова,Directed,cites,1
ART_45,AUT_Максютов,Directed,cites,1
ART_45,AUT_Воронцова,Directed,cites,1
ART_45,AUT_Боровская,Directed,cites,1
ART_45,AUT_Давыдова,Directed,cites,1
ART_45,AUT_Соколова,Directed,cites,1
ART_45,AUT_Овсий,Directed,cites,1
ART_45,AUT_Селиверстова,Directed,cites,1
ART_45,AUT_Гришина,Directed,cites,1
ART_45,AUT_Джанарсанам,Directed,cites,1
ART_45,AUT_Зимовина,Directed,cites,1
ART_45,AUT_Ефремова,Directed,cites,1
ART_45,AUT_Краснова,Directed,cites,1
ART_45,AUT_Будникова,Directed,cites,1
ART_45,AUT_Клышинский,Directed,cites,1
ART_46,AUT_Паскова,Directed,cites,1
ART_46,AUT_Агамалиев,Directed,cites,1
